Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
02,C SF  L,441.075000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
02,C SF  R,441.075000,+,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
03,C PT AL,443.075000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
03,C PT AR,443.075000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
04,C GRE L,442.075000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
04,C GRE R,442.075000,+,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
05,C OAK L,443.050000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
05,C OAK R,443.050000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
06,C WIL L,443.075000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
06,C WIL R,443.075000,+,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
07,C SJ  L,443.075000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
07,C SJ  R,443.075000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
08,C TAH L,442.075000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
08,C TAH R,442.075000,+,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
09,C MOD L,442.075000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
09,C MOD R,442.075000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
10,C MON L,443.475000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
10,C MON R,443.475000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
11,C WAL L,443.475000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
11,C WAL R,443.475000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
12,C PLS L,442.075000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
12,C PLS R,442.075000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
13,C SHA L,442.075000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
13,C SHA R,442.075000,+,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
14,C CIS L,443.475000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
14,C CIS R,443.475000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
15,C FRE L,440.750000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
15,C FRE R,440.750000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
16,C SAC L,440.750000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
16,C SAC R,440.750000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
17,C SON L,443.475000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
17,C SON R,443.475000,+,5.000000,Tone,151.4,88.5,023,NN,FM,5.00,,,,,,
18,C TOP L,443.475000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
18,C TOP R,443.475000,+,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
19,C HAY L,443.325000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
19,C HAY R,443.325000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
20,C BUR L,440.750000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
20,C BUR R,440.750000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
21,C REN L,440.750000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
21,C REN R,440.750000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
22,C HAW L,440.750000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
22,C HAW R,440.750000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
23,C NTA L,441.550000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
23,C NTA R,441.550000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
24,C CAR L,443.325000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
24,C CAR R,443.325000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
25,C RED L,444.325000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
25,C RED R,444.325000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
26,C GEY L,443.475000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,,,,,
26,C GEY R,443.475000,+,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
27,C QUI L,440.725000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
27,C QUI R,440.725000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
28,C SHASL,443.475000,+,5.000000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
28,C SHASR,443.475000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
29,C SLO L,443.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
29,C SLO R,443.500000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
30,C BAK L,443.075000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,,,,,
30,C BAK R,443.075000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
31,C LA  L,448.080000,-,5.000000,Tone,088.5,88.5,023,NN,FM,5.00,,,,,,
31,C LA  R,448.080000,-,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
32,C PAC L,440.725000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
32,C PAC R,440.725000,+,5.000000,Tone,167.9,88.5,023,NN,FM,5.00,,,,,,
33,C GUA L,147.000000,+,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
33,C GUA R,147.000000,+,0.600000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
35,C OAK L,443.050000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,,,,,
35,C OAK R,443.050000,+,5.000000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
36,C WIL L,146.115000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
36,C WIL R,146.115000,+,0.600000,Tone,173.8,88.5,023,NN,FM,5.00,,,,,,
