Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,C SF  L,442.075,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
2,C SF  R,441.075,+,5,Tone,167.9,88.5,23,NN,FM,5,,,,,,
3,C PT AL,443.075,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
4,C PT AR,443.075,+,5,Tone,173.8,88.5,23,NN,FM,5,,,,,,
5,C GRE L,442.075,+,5,Tone,114.8,88.5,23,NN,FM,5,,,,,,
6,C GRE R,442.075,+,5,Tone,167.9,88.5,23,NN,FM,5,,,,,,
7,C OAK L,443.05,+,5,Tone,114.8,88.5,23,NN,FM,5,,,,,,
8,C OAK R,443.05,+,5,Tone,173.8,88.5,23,NN,FM,5,,,,,,
9,C WIL L,443.075,+,5,Tone,114.8,88.5,23,NN,FM,5,,,,,,
10,WX10,163.275,,0,,88.5,88.5,23,NN,FM,5,,,,,,
11,C SJ  L,443.075,+,5,Tone,123,88.5,23,NN,FM,5,,,,,,
12,C SJ  R,443.075,+,5,Tone,162.2,88.5,23,NN,FM,5,,,,,,
13,C TAH L,442.075,+,5,Tone,127.3,88.5,23,NN,FM,5,,,,,,
14,C TAH R,442.075,+,5,Tone,151.4,88.5,23,NN,FM,5,,,,,,
15,C MOD L,442.075,+,5,Tone,123,88.5,23,NN,FM,5,,,,,,
16,C MOD R,442.075,+,5,Tone,173.8,88.5,23,NN,FM,5,,,,,,
17,C MON L,443.475,+,5,Tone,123,88.5,23,NN,FM,5,,,,,,
18,C MON R,443.475,+,5,Tone,173.8,88.5,23,NN,FM,5,,,,,,
19,C WAL L,443.475,+,5,Tone,114.8,88.5,23,NN,FM,5,,,,,,
20,C WAL R,443.475,+,5,Tone,162.2,88.5,23,NN,FM,5,,,,,,
21,C PLS L,442.075,+,5,Tone,103.5,88.5,23,NN,FM,5,,,,,,
22,C PLS R,442.075,+,5,Tone,156.7,88.5,23,NN,FM,5,,,,,,
23,C SHA L,442.075,+,5,Tone,114.8,88.5,23,NN,FM,5,,,,,,
24,C SHA R,442.075,+,5,Tone,167.9,88.5,23,NN,FM,5,,,,,,
25,C CIS L,443.475,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
26,C CIS R,443.475,+,5,Tone,156.7,88.5,23,NN,FM,5,,,,,,
27,C FRE L,440.75,+,5,Tone,114.8,88.5,23,NN,FM,5,,,,,,
28,C FRE R,440.75,+,5,Tone,162.2,88.5,23,NN,FM,5,,,,,,
29,C SAC L,440.75,+,5,Tone,107.2,88.5,23,NN,FM,5,,,,,,
30,C SAC R,440.75,+,5,Tone,173.8,88.5,23,NN,FM,5,,,,,,
31,C SON L,443.475,+,5,Tone,103.5,88.5,23,NN,FM,5,,,,,,
32,C SON R,443.475,+,5,Tone,151.4,88.5,23,NN,FM,5,,,,,,
